date,inflation_rate,unemployment_rate,federal_funds_rate,market_yield_10_rate,ppi_rate,gdp_pc1,gdp_invest_pc1,sp500_yoy,consumer_senti_pc1,means_0,means_1,means_2,means_3,means_4,means_5,means_6,means_7,means_8,hidden_states
1976-04-01,5.84906,7.7,4.82,7.56,5.3913,6.17398,26.25401,0.2030889452210103,14.42308,5.043741632397014,7.968384515480856,7.419551069224584,9.269022683848776,4.2601198839758165,4.340921969794564,10.16515478482149,0.16424824605640584,13.28064195586579,1
1976-05-01,6.21469,7.4,5.29,7.9,5.00864,6.17398,26.25401,0.1228221612374442,14.42308,5.043741632397014,7.968384515480856,7.419551069224584,9.269022683848776,4.2601198839758165,4.340921969794564,10.16515478482149,0.16424824605640584,13.28064195586579,1
1976-06-01,5.98131,7.6,5.48,7.86,5.51724,6.17398,26.25401,0.1014065392584064,18.49406,5.043741632397014,7.968384515480856,7.419551069224584,9.269022683848776,4.2601198839758165,4.340921969794564,10.16515478482149,0.16424824605640584,13.28064195586579,1
1976-07-01,5.55556,7.8,5.31,7.83,4.94037,4.95826,17.57854,0.1266518005826378,18.49406,5.043741632397014,7.968384515480856,7.419551069224584,9.269022683848776,4.2601198839758165,4.340921969794564,10.16515478482149,0.16424824605640584,13.28064195586579,1
1976-08-01,5.71956,7.8,5.29,7.77,4.0678,4.95826,17.57854,0.2050779115035554,18.49406,5.043741632397014,7.968384515480856,7.419551069224584,9.269022683848776,4.2601198839758165,4.340921969794564,10.16515478482149,0.16424824605640584,13.28064195586579,1
1976-09-01,5.49451,7.6,5.25,7.59,4.0404,4.95826,17.57854,0.2454277566892317,15.07937,5.043741632397014,7.968384515480856,7.419551069224584,9.269022683848776,4.2601198839758165,4.340921969794564,10.16515478482149,0.16424824605640584,13.28064195586579,1
1976-10-01,5.46448,7.7,5.02,7.41,3.51171,4.31152,15.24159,0.1502792863164341,15.07937,5.043741632397014,7.968384515480856,7.419551069224584,9.269022683848776,4.2601198839758165,4.340921969794564,10.16515478482149,0.16424824605640584,13.28064195586579,1
1976-11-01,5.06329,7.8,4.95,7.29,4.20168,4.31152,15.24159,0.1235574724699297,15.07937,5.043741632397014,7.968384515480856,7.419551069224584,9.269022683848776,4.2601198839758165,4.340921969794564,10.16515478482149,0.16424824605640584,13.28064195586579,1
1976-12-01,5.03597,7.8,4.65,6.87,4.69012,4.31152,15.24159,0.1799365491289282,2.95508,5.043741632397014,7.968384515480856,7.419551069224584,9.269022683848776,4.2601198839758165,4.340921969794564,10.16515478482149,0.16424824605640584,13.28064195586579,1
1977-01-01,5.19713,7.5,4.61,7.21,4.8414,3.22684,9.96988,0.0717927283537465,2.95508,5.043741632397014,7.968384515480856,7.419551069224584,9.269022683848776,4.2601198839758165,4.340921969794564,10.16515478482149,0.16424824605640584,13.28064195586579,1
1977-02-01,6.08229,7.6,4.68,7.39,6.01002,3.22684,9.96988,0.0031430519826718,2.95508,5.043741632397014,7.968384515480856,7.419551069224584,9.269022683848776,4.2601198839758165,4.340921969794564,10.16515478482149,0.16424824605640584,13.28064195586579,1
1977-03-01,6.42857,7.4,4.69,7.46,6.83333,3.22684,9.96988,-0.0050926095229323,8.28331,5.043741632397014,7.968384515480856,7.419551069224584,9.269022683848776,4.2601198839758165,4.340921969794564,10.16515478482149,0.16424824605640584,13.28064195586579,1
1977-04-01,6.95187,7.2,4.73,7.37,7.09571,4.4653,13.36683,-0.0282501358156764,8.28331,5.043741632397014,7.968384515480856,7.419551069224584,9.269022683848776,4.2601198839758165,4.340921969794564,10.16515478482149,0.16424824605640584,13.28064195586579,1
1977-05-01,6.73759,7.0,5.35,7.46,7.23684,4.4653,13.36683,-0.0237393810481798,8.28331,5.043741632397014,7.968384515480856,7.419551069224584,9.269022683848776,4.2601198839758165,4.340921969794564,10.16515478482149,0.16424824605640584,13.28064195586579,1
1977-06-01,6.70194,7.2,5.39,7.28,6.20915,4.4653,13.36683,-0.0243783635009181,-0.78038,5.043741632397014,7.968384515480856,7.419551069224584,9.269022683848776,4.2601198839758165,4.340921969794564,10.16515478482149,0.16424824605640584,13.28064195586579,1
1977-07-01,6.66667,6.9,5.42,7.33,5.68182,5.76999,18.68998,-0.0386036065581912,-0.78038,5.043741632397014,7.968384515480856,7.419551069224584,9.269022683848776,4.2601198839758165,4.340921969794564,10.16515478482149,0.16424824605640584,13.28064195586579,1
1977-08-01,6.63176,7.0,5.9,7.4,5.86319,5.76999,18.68998,-0.0536520529609689,-0.78038,5.043741632397014,7.968384515480856,7.419551069224584,9.269022683848776,4.2601198839758165,4.340921969794564,10.16515478482149,0.16424824605640584,13.28064195586579,1
1977-09-01,6.42361,6.8,6.14,7.34,5.66343,5.76999,18.68998,-0.0874410740533284,-2.98851,5.043741632397014,7.968384515480856,7.419551069224584,9.269022683848776,4.2601198839758165,4.340921969794564,10.16515478482149,0.16424824605640584,13.28064195586579,1
